Speaker,Speech,segmented_speech
"
นายวิทยา แก้วภราดัย (สมาชิกสภาผู้แทนราษฎร) :"," ถูกต้องครับ
ท่านประธาน ผมคิดว่าท่านเดินมาถูกทางแล้วครับ ให้ออกความคิดเห็นกันไปเลยครับ
ขอบคุณมากครับ","['ถูกต้อง', 'ครับ', '\r\n', 'ท่าน', 'ประธาน', 'ผม', 'คิด', 'ว่า', 'ท่าน', 'เดิน', 'มา', 'ถูก', 'ทาง', 'แล้ว', 'ครับ', 'ให้', 'ออกความคิดเห็น', 'กัน', 'ไป', 'เลย', 'ครับ', '\r\n', 'ขอบคุณ', 'มากครับ']"
"
นายมหรรณพ เดชวิทักษ์ (สมาชิกวุฒิสภา) :"," กราบเรียนท่านประธาน
รัฐสภาที่เคารพ กระผม มหรรณพ เดชวิทักษ์ สมาชิกวุฒิสภา ในฐานะสมาชิกรัฐสภา
เห็นชอบด้วยอย่างยิ่งต่อคาปรารภของท่านประธานว่าเราได้ใช้เวลาถกเถียงกันมานานแล้ว
เท่าที่ผมจับเวลา ๒ ชั่วโมงครึ่ง ยังไม่ไปถึงไหน ผมจับความได้ว่าฝ่ายที่ยื่นญัตติ
แสดงความไม่เห็นด้วยต่อการเสนอชื่อบุคคลเดิมให้เราให้ความเห็นชอบตามข้อบังคับ
ข้อ ๔๑ นั้นย่อมกระทามิได้ กับฝ่ายที่พยายามจะโต้แย้งว่าทาได้ อ้างสารพัดแม้กระทั่งอ้างให้
ตีความตามข้อ ๑๕๑ ผมก็สงสัยว่าพวกที่สงสัยว่าข้อ ๑๕๑ ทาไมไม่เสนอเป็นญัตติล่ะครับ
ท่านเสนอสิครับ ท่านมีสิทธิที่จะเสนอให้ตีความตามข้อ ๑๕๑ ก็พวกเราเชื่อว่าไม่ต้องตีความ
เพราะข้อบังคับมันเขียนไว้ชัดเจนในประโยคแรกว่าญัตติใดที่ตกไปแล้วไม่สามารถจะนา
กลับมาเสนอใหม่ได้ในสมัยประชุมเดียวกัน จบไปแล้วครับ ไม่มีข้อสงสัย เราไม่สงสัยครับ
ท่านประธาน ผมขอให้เดินหน้าต่อเถอะครับ ขอบพระคุณครับ","['กราบเรียน', 'ท่าน', 'ประธาน', '\r\n', 'รัฐสภา', 'ที่', 'เคารพ', 'กระผม', 'มหรรณพ', 'เดชวิ', 'ทักษ', '์', 'สมาชิกวุฒิสภา', 'ใน', 'ฐานะ', 'สมาชิกรัฐสภา', '\r\n', 'เห็นชอบ', 'ด้วย', 'อย่างยิ่ง', 'ต่อ', 'คา', 'ปรารภ', 'ของ', 'ท่าน', 'ประธาน', 'ว่า', 'เรา', 'ได้', 'ใช้เวลา', 'ถกเถียง', 'กัน', 'มานาน', 'แล้ว', '\r\n', 'เท่าที่', 'ผม', 'จับเวลา', '๒', 'ชั่วโมง', 'ครึ่ง', 'ยัง', 'ไม่', 'ไป', 'ถึง', 'ไหน', 'ผม', 'จับความ', 'ได้', 'ว่า', 'ฝ่าย', 'ที่', 'ยื่น', 'ญัตติ', '\r\n', 'แสดง', 'ความ', 'ไม่', 'เห็นด้วย', 'ต่อ', 'การ', 'เสนอชื่อ', 'บุคคล', 'เดิม', 'ให้', 'เรา', 'ให้', 'ความเห็นชอบ', 'ตาม', 'ข้อบังคับ', '\r\n', 'ข้อ', '๔๑', 'นั้น', 'ย่อมกระทามิได้', 'กับ', 'ฝ่าย', 'ที่', 'พยายาม', 'จะ', 'โต้แย้ง', 'ว่า', 'ทา', 'ได้', 'อ้าง', 'สารพัด', 'แม้กระทั่ง', 'อ้าง', 'ให้', '\r\n', 'ตีความ', 'ตาม', 'ข้อ', '๑๕๑', 'ผม', 'ก็', 'สงสัย', 'ว่า', 'พวก', 'ที่', 'สงสัย', 'ว่า', 'ข้อ', '๑๕๑', 'ทา', 'ไม', 'ไม่', 'เสนอ', 'เป็น', 'ญัตติ', 'ล่ะ', 'ครับ', '\r\n', 'ท่าน', 'เสนอสิ', 'ครับ', 'ท่านมี', 'สิทธิ', 'ที่จะ', 'เสนอ', 'ให้', 'ตีความ', 'ตาม', 'ข้อ', '๑๕๑', 'ก็', 'พวกเรา', 'เชื่อ', 'ว่า', 'ไม่ต้อง', 'ตีความ', '\r\n', 'เพราะ', 'ข้อบังคับ', 'มัน', 'เขียน', 'ไว้', 'ชัดเจน', 'ใน', 'ประโยค', 'แรกว่า', 'ญัตติ', 'ใด', 'ที่', 'ตกไป', 'แล้ว', 'ไม่', 'สามารถ', 'จะ', 'นา', '\r\n', 'กลับมา', 'เสนอ', 'ใหม่', 'ได้', 'ใน', 'สมัยประชุม', 'เดียวกัน', 'จบ', 'ไป', 'แล้ว', 'ครับ', 'ไม่', 'มี', 'ข้อสงสัย', 'เรา', 'ไม่', 'สงสัย', 'ครับ', '\r\n', 'ท่าน', 'ประธาน', 'ผม', 'ขอให้', 'เดินหน้า', 'ต่อ', 'เถอะ', 'ครับ', 'ขอบพระคุณ', 'ครับ']"
"
นายพริษฐ์ วัชรสินธุ (สมาชิกสภาผู้แทนราษฎร) :", ท่านประธานที่เคารพครับ,"['ท่าน', 'ประธาน', 'ที่', 'เคารพ', 'ครับ']"
"
นายพริษฐ์ วัชรสินธุ (สมาชิกสภาผู้แทนราษฎร) :"," ท่านประธาน ครับ
ผมขออนุญาตประท้วงท่านประธานตามข้อบังคับครับ","['ท่าน', 'ประธาน', 'ครับ', '\r\n', 'ผม', 'ขออนุญาต', 'ประท้วง', 'ท่าน', 'ประธาน', 'ตาม', 'ข้อบังคับ', 'ครับ']"
"
นายพริษฐ์ วัชรสินธุ (สมาชิกสภาผู้แทนราษฎร) :"," เข้าใจว่าเป็นสิทธิ
ของท่านประธานตามข้อ ๑๕๐ ว่าถึงแม้ไม่มีสมาชิกรัฐสภาเสนอญัตติให้ตีความข้อบังคับนั้น
ท่านประธานก็สามารถเสนอได้ แต่ว่าอยากจะเข้าใจคาถามหรือว่าญัตติชัด ๆ นิดหนึ่งว่า
คาถามหรือว่าที่ประธานเสนอ","['เข้าใจ', 'ว่า', 'เป็น', 'สิทธิ', '\r\n', 'ของ', 'ท่าน', 'ประธาน', 'ตาม', 'ข้อ', '๑๕๐', 'ว่า', 'ถึงแม้', 'ไม่', 'มี', 'สมาชิกรัฐสภา', 'เสนอ', 'ญัตติ', 'ให้', 'ตีความ', 'ข้อบังคับ', 'นั้น', '\r\n', 'ท่าน', 'ประธาน', 'ก็', 'สามารถ', 'เสนอ', 'ได้', 'แต่ว่า', 'อยาก', 'จะเข้าใจ', 'คาถาม', 'หรือว่า', 'ญัตติ', 'ชัด', 'ๆ', 'นิดหนึ่ง', 'ว่า', '\r\n', 'คาถาม', 'หรือว่าที่', 'ประธาน', 'เสนอ']"
"
นายสมชาย แสวงการ (สมาชิกวุฒิสภา) :"," ท่านประธานที่เคารพครับ
สมชาย แสวงการ ขออนุญาตประท้วงท่านประธานครับ","['ท่าน', 'ประธาน', 'ที่', 'เคารพ', 'ครับ', '\r\n', 'สม', 'ชาย', 'แสวงการ', 'ขออนุญาต', 'ประท้วง', 'ท่าน', 'ประธาน', 'ครับ']"
"
นายสมชาย แสวงการ (สมาชิกวุฒิสภา) :"," สักครู่ที่ผมลุกขึ้นประท้วง
ท่านประธาน และด้วยความเคารพให้ท่านประธานได้ดาเนินการไปนั้นด้วยความเคารพ
ท่านประธานจริง ๆ ครับ
ประการที่ ๑ ท่านประธานวินิจฉัยไปล่วงหน้าแล้วเมื่อสักครู่ว่าพิจารณาญัตติ
ข้อเสนอของท่านอัครเดช ท่านเสรี สุวรรณภานนท์ ที่คัดค้านญัตติ การเสนอคุณพิธา
เป็นนายกรัฐมนตรี คัดค้านว่าไม่ชอบตามข้อ ๔๑ เพราะฉะนั้นจะต้องเดินตามนี้ครับ
เมื่อท่านประธานวินิจฉัยไปแล้วจะต้องเดินตามนี้ ทีนี้มาเปลี่ยนคาวินิจฉัย ผมก็ไม่คัดค้าน
ท่านประธานนะครับ","['สักครู่', 'ที่', 'ผม', 'ลุกขึ้น', 'ประท้วง', '\r\n', 'ท่าน', 'ประธาน', 'และ', 'ด้วย', 'ความเคารพ', 'ให้ท่าน', 'ประธาน', 'ได้', 'ดา', 'เนิน', 'การ', 'ไป', 'นั้น', 'ด้วย', 'ความเคารพ', '\r\n', 'ท่าน', 'ประธาน', 'จริง ๆ', 'ครับ', '\r\n', 'ประการที่', '๑', 'ท่าน', 'ประธาน', 'วินิจฉัย', 'ไปล่วงหน้า', 'แล้ว', 'เมื่อ', 'สักครู่', 'ว่า', 'พิจารณา', 'ญัตติ', '\r\n', 'ข้อเสนอ', 'ของ', 'ท่านอัครเดช', 'ท่าน', 'เสรี', 'สุวรรณ', 'ภา', 'นนท์', 'ที่', 'คัดค้าน', 'ญัตติ', 'การ', 'เสนอ', 'คุณ', 'พิธา', '\r\n', 'เป็น', 'นายกรัฐมนตรี', 'คัดค้านว่า', 'ไม่', 'ชอบ', 'ตาม', 'ข้อ', '๔๑', 'เพราะฉะนั้น', 'จะ', 'ต้อง', 'เดินตามนี้', 'ครับ', '\r\n', 'เมื่อ', 'ท่าน', 'ประธาน', 'วินิจฉัย', 'ไป', 'แล้วจะ', 'ต้อง', 'เดินตามนี้', 'ทีนี้', 'มา', 'เปลี่ยน', 'คาวินิจฉัย', 'ผม', 'ก็', 'ไม่', 'คัดค้าน', '\r\n', 'ท่าน', 'ประธาน', 'นะ', 'ครับ']"
"
นายสมชาย แสวงการ (สมาชิกวุฒิสภา) :"," ท่านประธานครับ ขออภัย
ท่านประธาน ด้วยความเคารพจริง ๆ สักครู่ครับ ผมขออนุญาตท่านประธาน","['ท่าน', 'ประธาน', 'ครับ', 'ขออภัย', '\r\n', 'ท่าน', 'ประธาน', 'ด้วย', 'ความเคารพ', 'จริง ๆ', 'สักครู่', 'ครับ', 'ผม', 'ขออนุญาต', 'ท่าน', 'ประธาน']"
"
นายสมชาย แสวงการ (สมาชิกวุฒิสภา) :"," ใช้เวลาสักครู่อธิบายครับว่า
กระผมเห็นว่าข้อเสนอของท่านอัครเดชว่าตามข้อ ๔๑ ญัตติดังกล่าวเสนอไม่ได้ ข้อเสนอของ
ท่านเสรี สุวรรณภานนท์ บอกว่าขัดรัฐธรรมนูญ ท่านประธานวินิจฉัยแล้วนะครับว่าต้องเดิน
การประชุมไปตามนี้ ส่วนข้อ ๑๕๑ มาทีหลัง พวกกระผมไม่ได้ขัดข้องหรือสงสัยเลยว่า
ข้อบังคับดังกล่าวขัดต่อประเด็นใดที่ต้องวินิจฉัยตามข้อ ๑๕๑ เพราะฉะนั้นพวกผมไม่มี
ความจาเป็นในส่วนที่ต้องวินิจฉัย หรืออภิปรายในส่วนข้อ ๑๕๑ แต่ยืนยันว่าเมื่อท่านประธาน
เดินตามข้อ ๓๒ ข้อ ๓๖ แล้ว แล้วพวกเราเห็นว่าญัตติดังกล่าวในการเสนอชื่อของ
คุณสุทิน คลังแสง นั้นตกไปแล้วตั้งแต่คราวที่คุณหมอชลน่านเสนอ เพราะฉะนั้นต้องเดิน
ตามนี้ก่อนครับ ส่วนท่านประธานจะวินิจฉัยว่าใช้ข้อ ๑๕๑ ก็ต้องเรียงสุดท้าย เพราะฉะนั้น
พวกกระผมไม่ได้อภิปรายในส่วนว่าข้อ ๑๕๑ ต้องตีความหรือไม่ เราอภิปรายตามที่
ท่านอัครเดชกับท่านเสรีเสนอ แล้วเวลาลงมติก็ต้องลงมติเรียงตามที่ท่านอัครเดช
กับท่านเสรีเสนอ ท่านประธานครับ ขออนุญาตดาเนินการตามนี้ครับ ไม่อย่างนั้นสภา
จะสับสน กราบขอบพระคุณครับ","['ใช้เวลา', 'สักครู่', 'อธิบาย', 'ครับ', 'ว่า', '\r\n', 'กระผม', 'เห็น', 'ว่า', 'ข้อเสนอ', 'ของ', 'ท่านอัครเดชว่า', 'ตาม', 'ข้อ', '๔๑', 'ญัตติ', 'ดังกล่าว', 'เสนอ', 'ไม่', 'ได้', 'ข้อเสนอ', 'ของ', '\r\n', 'ท่าน', 'เสรี', 'สุวรรณ', 'ภา', 'นนท์', 'บอกว่า', 'ขัด', 'รัฐธรรมนูญ', 'ท่าน', 'ประธาน', 'วินิจฉัย', 'แล้วนะ', 'ครับ', 'ว่า', 'ต้อง', 'เดิน', '\r\n', 'การประชุม', 'ไป', 'ตามนี้', 'ส่วน', 'ข้อ', '๑๕๑', 'มา', 'ทีหลัง', 'พวก', 'กระผม', 'ไม่', 'ได้', 'ขัดข้อง', 'หรือ', 'สงสัย', 'เลย', 'ว่า', '\r\n', 'ข้อบังคับ', 'ดังกล่าว', 'ขัดต่อ', 'ประเด็น', 'ใด', 'ที่', 'ต้อง', 'วินิจฉัย', 'ตาม', 'ข้อ', '๑๕๑', 'เพราะฉะนั้น', 'พวกผม', 'ไม่', 'มี', '\r\n', 'ความ', 'จา', 'เป็น', 'ใน', 'ส่วน', 'ที่', 'ต้อง', 'วินิจฉัย', 'หรือ', 'อภิปราย', 'ใน', 'ส่วน', 'ข้อ', '๑๕๑', 'แต่', 'ยืนยัน', 'ว่า', 'เมื่อ', 'ท่าน', 'ประธาน', '\r\n', 'เดินตาม', 'ข้อ', '๓๒', 'ข้อ', '๓๖', 'แล้ว', 'แล้ว', 'พวกเรา', 'เห็น', 'ว่า', 'ญัตติ', 'ดังกล่าว', 'ใน', 'การ', 'เสนอชื่อ', 'ของ', '\r\n', 'คุณ', 'สุทิน', 'คลังแสง', 'นั้น', 'ตกไป', 'แล้วตั้งแต่', 'คราวที่', 'คุณหมอ', 'ชลน่าน', 'เสนอ', 'เพราะฉะนั้น', 'ต้อง', 'เดิน', '\r\n', 'ตามนี้', 'ก่อนครับ', 'ส่วน', 'ท่าน', 'ประธาน', 'จะ', 'วินิจฉัย', 'ว่า', 'ใช้', 'ข้อ', '๑๕๑', 'ก็', 'ต้อง', 'เรียง', 'สุดท้าย', 'เพราะฉะนั้น', '\r\n', 'พวก', 'กระผม', 'ไม่', 'ได้', 'อภิปราย', 'ใน', 'ส่วน', 'ว่า', 'ข้อ', '๑๕๑', 'ต้อง', 'ตีความ', 'หรือไม่', 'เรา', 'อภิปรายตามที่', '\r\n', 'ท่านอัครเดชกับ', 'ท่าน', 'เสรี', 'เสนอ', 'แล้ว', 'เวลา', 'ลงมติ', 'ก็', 'ต้อง', 'ลงมติ', 'เรียง', 'ตามที่', 'ท่านอัครเดช', '\r\n', 'กับ', 'ท่าน', 'เสรี', 'เสนอ', 'ท่าน', 'ประธาน', 'ครับ', 'ขออนุญาต', 'ดา', 'เนิน', 'การตามนี้', 'ครับ', 'ไม่อย่างนั้น', 'สภา', '\r\n', 'จะ', 'สับสน', 'กราบ', 'ขอบพระคุณ', 'ครับ']"
"
นายชลน่าน ศรีแก้ว (สมาชิกสภาผู้แทนราษฎร) :"," ท่านประธานที่เคารพ
กระผม ชลน่าน ศรีแก้ว พรรคเพื่อไทย จังหวัดน่าน สมาชิกรัฐสภา กราบขอบคุณ
ท่านประธานครับ ในข้อเสนอของผมเป็นการเสนอตามข้อบังคับ ข้อ ๑๕๑ อาศัยอานาจ
ตามข้อบังคับนั้นในการเสนอเนื้อหาญัตติเหมือนกับเพื่อนสมาชิกเสนอ เพราะเพื่อนสมาชิก
ต้องการให้วินิจฉัยข้อบังคับ ข้อ ๔๑ นี่ความหมายของผมนะครับ แต่ผู้เสนออาจจะไม่ได้ใช้
คาว่า วินิจฉัย ท่านบอกว่าการเสนอชื่อผู้สมควรได้รับการแต่งตั้งเป็นนายกรัฐมนตรีของ
ดอกเตอร์สุทิน คลังแสง เสนอไม่ได้เนื่องจากว่าเป็นญัตติที่ตกไปแล้วตามข้อบังคับ ข้อ ๔๑
หลังจากนั้นมีการคัดค้านว่าไม่ใช่ข้อบังคับ ข้อ ๔๑ เราเสนอตามมาตรา ๑๓๖ มันก็มีข้อสงสัย
ในการใช้ข้อบังคับนี้ เพราะฉะนั้นอาศัยอานาจข้อบังคับ ข้อ ๑๕๑ เป็นอานาจในการเสนอ
ตามข้อนี้ วัตถุประสงค์เพื่อให้สภามีคาวินิจฉัยว่าการใช้ข้อบังคับของเราชอบหรือไม่ชอบ
อย่างไร ถ้าคาวินิจฉัยนั้นออกมาเป็นเสียงข้างมาก ต้องเกินกึ่งหนึ่ง หรือไม่น้อยกว่ากึ่งหนึ่ง
ตามข้อบังคับ ข้อวินิจฉัยนั้นถือเป็นที่ยุติเท่านั้นเอง เนื้อหาสาระญัตติเป็นไปตามที่เพื่อนสมาชิก
เสนอครับท่านประธาน ก็อภิปรายตามนั้น ก็โต้แย้งกันไป ฝ่ายสนับสนุนก็สนับสนุน
ฝ่ายไม่เห็นชอบก็อ้างข้อกฎหมาย หรือรัฐธรรมนูญ หรือข้อบังคับที่เกี่ยวข้องมาให้สภาแห่งนี้
ได้เป็นผู้วินิจฉัยเท่านั้นเองครับท่านประธาน ไม่เป็นญัตติว่าผมเป็นผู้เสนอญัตติตามข้อ ๑๕๑
ไม่ใช่ครับ เสนอมาแล้ว แต่ผมขอว่าให้ใช้อานาจตามข้อ ๑๕๑ ในการเสนอและการวินิจฉัย
เท่านั้นเองครับ ขอบพระคุณครับ","['ท่าน', 'ประธาน', 'ที่', 'เคารพ', '\r\n', 'กระผม', 'ชลน่าน', 'ศรีแก้ว', 'พรรคเพื่อไทย', 'จังหวัด', 'น่าน', 'สมาชิกรัฐสภา', 'กราบ', 'ขอบคุณ', '\r\n', 'ท่าน', 'ประธาน', 'ครับ', 'ใน', 'ข้อเสนอ', 'ของ', 'ผม', 'เป็นการ', 'เสนอตาม', 'ข้อบังคับ', 'ข้อ', '๑๕๑', 'อาศัย', 'อานา', 'จ', '\r\n', 'ตาม', 'ข้อบังคับ', 'นั้น', 'ใน', 'การ', 'เสนอ', 'เนื้อหาญัตติ', 'เหมือนกับ', 'เพื่อน', 'สมาชิก', 'เสนอ', 'เพราะ', 'เพื่อน', 'สมาชิก', '\r\n', 'ต้องการ', 'ให้', 'วินิจฉัย', 'ข้อบังคับ', 'ข้อ', '๔๑', 'นี่', 'ความหมาย', 'ของ', 'ผม', 'นะ', 'ครับ', 'แต่', 'ผู้เสนออาจจะ', 'ไม่', 'ได้', 'ใช้', '\r\n', 'คาว่า', 'วินิจฉัย', 'ท่านบอกว่าการ', 'เสนอชื่อ', 'ผู้', 'สมควร', 'ได้รับ', 'การ', 'แต่งตั้ง', 'เป็น', 'นายกรัฐมนตรี', 'ของ', '\r\n', 'ดอกเตอร์', 'สุทิน', 'คลังแสง', 'เสนอ', 'ไม่', 'ได้', 'เนื่องจากว่า', 'เป็น', 'ญัตติ', 'ที่', 'ตกไป', 'แล้วตาม', 'ข้อบังคับ', 'ข้อ', '๔๑', '\r\n', 'หลังจากนั้น', 'มี', 'การ', 'คัดค้านว่า', 'ไม่', 'ใช่', 'ข้อบังคับ', 'ข้อ', '๔๑', 'เรา', 'เสนอตามมาตรา', '๑๓๖', 'มัน', 'ก็', 'มี', 'ข้อสงสัย', '\r\n', 'ใน', 'การ', 'ใช้', 'ข้อบังคับ', 'นี้', 'เพราะฉะนั้น', 'อาศัย', 'อานา', 'จ', 'ข้อบังคับ', 'ข้อ', '๑๕๑', 'เป็น', 'อานา', 'จ', 'ใน', 'การ', 'เสนอ', '\r\n', 'ตาม', 'ข้อนี้', 'วัตถุประสงค์', 'เพื่อให้', 'สภา', 'มี', 'คาวินิจฉัย', 'ว่าการ', 'ใช้', 'ข้อบังคับ', 'ของ', 'เรา', 'ชอบ', 'หรือไม่', 'ชอบ', '\r\n', 'อย่างไร', 'ถ้า', 'คาวินิจฉัย', 'นั้น', 'ออกมา', 'เป็น', 'เสียงข้างมาก', 'ต้อง', 'เกิน', 'กึ่งหนึ่ง', 'หรือไม่', 'น้อยกว่า', 'กึ่งหนึ่ง', '\r\n', 'ตาม', 'ข้อบังคับ', 'ข้อ', 'วินิจฉัย', 'นั้น', 'ถือเป็นที่', 'ยุติ', 'เท่านั้นเอง', 'เนื้อหาสาระ', 'ญัตติ', 'เป็นไปตามที่', 'เพื่อน', 'สมาชิก', '\r\n', 'เสนอ', 'ครับ', 'ท่าน', 'ประธาน', 'ก็', 'อภิปรายตามนั้น', 'ก็', 'โต้แย้งกัน', 'ไป', 'ฝ่ายสนับสนุน', 'ก็', 'สนับสนุน', '\r\n', 'ฝ่าย', 'ไม่', 'เห็นชอบ', 'ก็', 'อ้าง', 'ข้อกฎหมาย', 'หรือ', 'รัฐธรรมนูญ', 'หรือ', 'ข้อบังคับ', 'ที่', 'เกี่ยวข้องมา', 'ให้', 'สภา', 'แห่ง', 'นี้', '\r\n', 'ได้', 'เป็น', 'ผู้', 'วินิจฉัย', 'เท่านั้นเอง', 'ครับ', 'ท่าน', 'ประธาน', 'ไม่', 'เป็น', 'ญัตติ', 'ว่า', 'ผม', 'เป็น', 'ผู้เสนอ', 'ญัตติ', 'ตาม', 'ข้อ', '๑๕๑', '\r\n', 'ไม่', 'ใช่', 'ครับ', 'เสนอมา', 'แล้ว', 'แต่', 'ผม', 'ขอ', 'ว่า', 'ให้', 'ใช้', 'อานา', 'จ', 'ตาม', 'ข้อ', '๑๕๑', 'ใน', 'การ', 'เสนอ', 'และ', 'การวินิจฉัย', '\r\n', 'เท่านั้นเอง', 'ครับ', 'ขอบพระคุณ', 'ครับ']"
"
นายเสรี สุวรรณภานนท์ (สมาชิกวุฒิสภา) :", ท่านประธานครับ ผมเสรีครับ,"['ท่าน', 'ประธาน', 'ครับ', 'ผม', 'เสรี', 'ครับ']"
"
นายอัครเดช วงษ์พิทักษ์โรจน์ (สมาชิกสภาผู้แทนราษฎร) :"," ท่านประธานครับ
ผม อัครเดช วงษ์พิทักษ์โรจน์ สส. ราชบุรี พรรครวมไทยสร้างชาติ ในฐานะสมาชิกรัฐสภา
ท่านประธานครับ ผมเสนอเป็นญัตตินะครับ เพื่อพิจารณาว่าญัตติของผู้ที่เสนอให้คุณพิธา
ลิ้มเจริญรัตน์ มาเป็นนายกรัฐมนตรีมันเป็นญัตติ แล้วญัตติได้ตกไปแล้ว อันนี้ผมเลยหารือ
ท่านประธานว่าในเมื่อผมเสนอเป็นญัตติไปแล้ว โดยปกติเมื่อเสนอเป็นญัตติไปแล้ว
แล้วท่านประธานก็วินิจฉัยแล้วว่าญัตติของผมเป็นไปตามข้อบังคับ ท่านประธานได้
วินิจฉัยแล้ว ฉะนั้นก็อยากให้เข้าไปสู่ระเบียบวาระการพิจารณาญัตติของผมด้วยการให้
สมาชิกอภิปราย เมื่ออภิปรายเสร็จก็มาลงมติกันด้วยเสียงข้างมากว่าเห็นด้วยกับญัตติของผม
หรือไม่ อย่างไร ผมไม่ได้เสนอให้ใช้ข้อ ๑๕๑ ในการพิจารณา ฉะนั้นใครที่เสนอพิจารณา
ข้อ ๑๕๑ ถ้าคุณหมอชลน่าน ศรีแก้ว ขออนุญาตที่เอ่ยนามท่านนะครับ ถ้าท่านจะใช้
ข้อ ๑๕๑ ท่านก็ต้องเสนอเป็นญัตติขึ้นมาเพื่อที่ให้ที่ประชุมนี้พิจารณาว่าใช้ข้อ ๑๕๑
ในการพิจารณาในสิ่งที่เรากาลังพิจารณาอยู่ แต่ผมไม่ได้ใช้ข้อ ๑๕๑ นะครับท่านประธาน
ผมเสนอญัตติ เพราะฉะนั้นขอท่านประธานได้วินิจฉัยด้วยนะครับ","['ท่าน', 'ประธาน', 'ครับ', '\r\n', 'ผม', 'อัครเดช', 'วงษ์พิทักษ์โรจน์', 'สส.', 'ราชบุรี', 'พรรครวมไทยสร้างชาติ', 'ใน', 'ฐานะ', 'สมาชิกรัฐสภา', '\r\n', 'ท่าน', 'ประธาน', 'ครับ', 'ผม', 'เสนอ', 'เป็น', 'ญัตติ', 'นะ', 'ครับ', 'เพื่อ', 'พิจารณา', 'ว่า', 'ญัตติ', 'ของ', 'ผู้', 'ที่', 'เสนอ', 'ให้', 'คุณ', 'พิธา', '\r\n', 'ลิ้มเจริญรัตน์', 'มา', 'เป็น', 'นายกรัฐมนตรี', 'มัน', 'เป็น', 'ญัตติ', 'แล้ว', 'ญัตติ', 'ได้', 'ตกไป', 'แล้ว', 'อันนี้', 'ผม', 'เลย', 'หารือ', '\r\n', 'ท่าน', 'ประธาน', 'ว่า', 'ใน', 'เมื่อ', 'ผม', 'เสนอ', 'เป็น', 'ญัตติ', 'ไป', 'แล้ว', 'โดยปกติ', 'เมื่อ', 'เสนอ', 'เป็น', 'ญัตติ', 'ไป', 'แล้ว', '\r\n', 'แล้วท่าน', 'ประธาน', 'ก็', 'วินิจฉัย', 'แล้ว', 'ว่า', 'ญัตติ', 'ของ', 'ผม', 'เป็นไปตาม', 'ข้อบังคับ', 'ท่าน', 'ประธาน', 'ได้', '\r\n', 'วินิจฉัย', 'แล้ว', 'ฉะนั้น', 'ก็', 'อยาก', 'ให้', 'เข้าไป', 'สู่', 'ระเบียบวาระการพิจารณา', 'ญัตติ', 'ของ', 'ผม', 'ด้วย', 'การ', 'ให้', '\r\n', 'สมาชิกอภิปราย', 'เมื่อ', 'อภิปราย', 'เสร็จ', 'ก็', 'มา', 'ลงมติ', 'กัน', 'ด้วย', 'เสียงข้างมากว่า', 'เห็นด้วย', 'กับ', 'ญัตติ', 'ของ', 'ผม', '\r\n', 'หรือไม่', 'อย่างไร', 'ผม', 'ไม่', 'ได้', 'เสนอ', 'ให้', 'ใช้', 'ข้อ', '๑๕๑', 'ใน', 'การพิจารณา', 'ฉะนั้น', 'ใคร', 'ที่', 'เสนอ', 'พิจารณา', '\r\n', 'ข้อ', '๑๕๑', 'ถ้า', 'คุณหมอ', 'ชลน่าน', 'ศรีแก้ว', 'ขออนุญาต', 'ที่', 'เอ่ย', 'นามท่าน', 'นะ', 'ครับ', 'ถ้า', 'ท่าน', 'จะ', 'ใช้', '\r\n', 'ข้อ', '๑๕๑', 'ท่านก็', 'ต้อง', 'เสนอ', 'เป็น', 'ญัตติ', 'ขึ้น', 'มา', 'เพื่อ', 'ที่', 'ให้', 'ที่ประชุมนี้', 'พิจารณา', 'ว่า', 'ใช้', 'ข้อ', '๑๕๑', '\r\n', 'ใน', 'การพิจารณา', 'ใน', 'สิ่ง', 'ที่', 'เรา', 'กาลัง', 'พิจารณา', 'อยู่', 'แต่', 'ผม', 'ไม่', 'ได้', 'ใช้', 'ข้อ', '๑๕๑', 'นะ', 'ครับ', 'ท่าน', 'ประธาน', '\r\n', 'ผม', 'เสนอ', 'ญัตติ', 'เพราะฉะนั้น', 'ขอ', 'ท่าน', 'ประธาน', 'ได้', 'วินิจฉัย', 'ด้วย', 'นะ', 'ครับ']"
