Speaker,Speech,segmented_speech
"
นายจิรายุ ห่วงทรัพย์ สมาชิกสภาผู้แทนราษฎร (กรุงเทพมหานคร) :","
ท่านประธานที่เคารพครับ กระผม จิรายุ ห่วงทรัพย์ สมาชิกสภาผู้แทนราษฎร
กรุงเทพมหานคร ในฐานะสมาชิกรัฐสภา ------------------------------------------------------------

ฝากเรียนท่านประธานไปยังท่านนายกรัฐมนตรีนะครับ ดูแล้วท่านอภิปรายมากกว่าจะแถลง
นโยบาย แต่ไม่เป็นอะไรก็เป็นลีลาของท่านว่าไป แต่ที่ผมอยากจะบอกท่าน ผมนั่งฟังท่าน
ไม่ได้จับคาพูด และ ที่ ซึ่ง จึง ใช่ ทุกคานะครับ เพียงแต่ว่าผมนั่งฟังมาอยู่ดี ๆ หมวดข้อ ๒
การสร้างความมั่นคงและความปลอดภัยของประเทศและความสงบสุขของประเทศ ท่านอ่าน
๒.๑ ๒.๒ ๒.๓ พอมาเรื่องของยาเสพติดท่านข้ามเลย ผมก็เลยไม่รู้ว่าตกลงรัฐบาลนี้จะแก้ไข
ปัญ ห ายาเสพ ติด ที่มัน ลุก ลาม ระ บาด ห รือ ไ ม่ จึง ฝาก เรียน ท่า น ประ ธาน ไ ปยัง
ท่านนายกรัฐมนตรี ท่านช้า ๆ ชัด ๆ ไม่ต้องรีบครับ วันนี้เราอยู่กันได้ทั้งวัน หลายคน
อยากเห็นท่านนายกรัฐมนตรี เห็นแต่ในโทรทัศน์ครับ เพิ่งเห็นตัวเป็น ๆ ของท่าน
เพราะฉะนั้นก็อยากจะให้ท่านเรียงลาดับครับ ๒.๒ ๒.๓ การแก้ไขปัญหายาเสพติด พอท่าน
ไม่พูดปุ๊บมันไม่ได้บันทึกในสภาครับ ก็เลยคิดว่ารัฐบาลนี้จะปล่อยให้ยาเสพติดเยอะ
จึงไม่แถลงนโยบาย จึงกราบเรียนท่านประธานผ่านไปยังท่านนายกรัฐมนตรีครับ
(นายนิโรธ สุนทรเลขา สมาชิกสภาผู้แทนราษฎรจังหวัดนครสวรรค์
ได้ยืนและยกมือขึ้น)","['\r\n', 'ท่าน', 'ประธาน', 'ที่', 'เคารพ', 'ครับ', 'กระผม', 'จิรายุ', 'ห่วงทรัพย์', 'สมาชิกสภาผู้แทนราษฎร', '\r\n', 'กรุงเทพมหานคร', 'ใน', 'ฐานะ', 'สมาชิกรัฐสภา', '------------------------------------------------------------', '\r\n', '\r\n', 'ฝาก', 'เรียน', 'ท่าน', 'ประธาน', 'ไปยัง', 'ท่าน', 'นายกรัฐมนตรี', 'นะ', 'ครับ', 'ดูแล้วท่านอภิปราย', 'มากกว่า', 'จะ', 'แถลง', '\r\n', 'นโยบาย', 'แต่', 'ไม่เป็นอะไร', 'ก็', 'เป็น', 'ลีลา', 'ของ', 'ท่านว่า', 'ไป', 'แต่', 'ที่', 'ผม', 'อยาก', 'จะ', 'บอก', 'ท่าน', 'ผม', 'นั่ง', 'ฟัง', 'ท่าน', '\r\n', 'ไม่', 'ได้', 'จับ', 'คา', 'พูด', 'และ', 'ที่', 'ซึ่ง', 'จึง', 'ใช่', 'ทุกคานะ', 'ครับ', 'เพียงแต่ว่า', 'ผม', 'นั่ง', 'ฟัง', 'มา', 'อยู่ดี ๆ', 'หมวด', 'ข้อ', '๒', '\r\n', 'การสร้าง', 'ความมั่นคง', 'และ', 'ความปลอดภัย', 'ของ', 'ประเทศ', 'และ', 'ความสงบสุข', 'ของ', 'ประเทศ', 'ท่านอ่าน', '\r\n', '๒.๑', '๒.๒', '๒.๓', 'พอ', 'มา', 'เรื่อง', 'ของ', 'ยาเสพติด', 'ท่านข้าม', 'เลย', 'ผม', 'ก็', 'เลย', 'ไม่', 'รู้', 'ว่า', 'ตกลง', 'รัฐบาลนี้', 'จะ', 'แก้ไข', '\r\n', 'ปัญ', 'ห', 'า', 'ยา', 'เสพ', 'ติด', 'ที่', 'มัน', 'ลุก', 'ลาม', 'ระ', 'บาด', 'ห', 'รือ', 'ไ', 'ม่', 'จึง', 'ฝาก', 'เรียน', 'ท่า', 'น', 'ประ', 'ธาน', 'ไ', 'ป', 'ยัง', '\r\n', 'ท่าน', 'นายกรัฐมนตรี', 'ท่าน', 'ช้า', 'ๆ', 'ชัด', 'ๆ', 'ไม่ต้อง', 'รีบ', 'ครับ', 'วันนี้', 'เรา', 'อยู่', 'กันได้', 'ทั้งวัน', 'หลาย', 'คน', '\r\n', 'อยาก', 'เห็นท่าน', 'นายกรัฐมนตรี', 'เห็น', 'แต่', 'ใน', 'โทรทัศน์', 'ครับ', 'เพิ่ง', 'เห็น', 'ตัว', 'เป็น', 'ๆ', 'ของ', 'ท่าน', '\r\n', 'เพราะฉะนั้น', 'ก็', 'อยาก', 'จะ', 'ให้ท่าน', 'เรียง', 'ลาดับ', 'ครับ', '๒.๒', '๒.๓', 'การ', 'แก้ไขปัญหา', 'ยาเสพติด', 'พอ', 'ท่าน', '\r\n', 'ไม่', 'พูด', 'ปุ๊บ', 'มัน', 'ไม่', 'ได้', 'บันทึก', 'ใน', 'สภาครับ', 'ก็', 'เลย', 'คิด', 'ว่า', 'รัฐบาลนี้', 'จะ', 'ปล่อย', 'ให้ยาเสพติด', 'เยอะ', '\r\n', 'จึง', 'ไม่', 'แถลง', 'นโยบาย', 'จึง', 'กราบเรียน', 'ท่าน', 'ประธาน', 'ผ่าน', 'ไปยัง', 'ท่าน', 'นายกรัฐมนตรี', 'ครับ', '\r\n', '(', 'นาย', 'นิโรธ', 'สุนทรเลขา', 'สมาชิกสภาผู้แทนราษฎร', 'จังหวัด', 'นครสวรรค์', '\r\n', 'ได้', 'ยืน', 'และ', 'ยกมือขึ้น', ')']"
"
นายนิโรธ สุนทรเลขา สมาชิกสภาผู้แทนราษฎร (นครสวรรค์) :","
ท่านประธานครับ ผมขออนุญาตประท้วงครับท่าน ขออนุญาตประท้วงท่านประธานรัฐสภาครับ
ผม นิโรธ สุนทรเลขา ในฐานะสมาชิกรัฐสภานะครับ ผมประท้วงท่านประธานรัฐสภา
ในข้อบังคับ ข้อ ๕ ครับ ตาม (๓) (๔) (๕) ว่าท่านต้องควบคุมการประชุมสภา
ให้อยู่ในความสงบเรียบร้อยและเป็นไปด้วยดีในเรื่องการปรึกษาหารือในเนื้อหาแถลงนโยบาย
ท่านประธานรัฐสภาต้องให้ท่านนายกรัฐมนตรีได้แถลงนโยบายจนจบสิ้นก่อนครับ
ถึงปล่อยให้มีการประท้วงตามข้อบังคับแล้วว่าผิดข้อบังคับไหน นโยบายไหน รัฐมนตรีไหน
ฉะนั้นขอให้ท่านประธานรัฐสภาได้พิจารณาวินิจฉัยตามข้อบังคับ ข้อ ๕ มิฉะนั้นการแถลง
นโยบายจะไม่ได้จบสิ้นนะครับ","['\r\n', 'ท่าน', 'ประธาน', 'ครับ', 'ผม', 'ขออนุญาต', 'ประท้วง', 'ครับ', 'ท่าน', 'ขออนุญาต', 'ประท้วง', 'ท่าน', 'ประธานรัฐสภาครับ', '\r\n', 'ผม', 'นิโรธ', 'สุนทรเลขา', 'ใน', 'ฐานะ', 'สมาชิกรัฐสภา', 'นะ', 'ครับ', 'ผม', 'ประท้วง', 'ท่าน', 'ประธานรัฐสภา', '\r\n', 'ใน', 'ข้อบังคับ', 'ข้อ', '๕', 'ครับ', 'ตาม', '(', '๓', ')', '(', '๔', ')', '(', '๕', ')', 'ว่า', 'ท่าน', 'ต้อง', 'ควบคุมการประชุม', 'สภา', '\r\n', 'ให้', 'อยู่', 'ใน', 'ความสงบเรียบร้อย', 'และ', 'เป็นไป', 'ด้วยดี', 'ใน', 'เรื่องการปรึกษาหารือ', 'ใน', 'เนื้อหา', 'แถลง', 'นโยบาย', '\r\n', 'ท่าน', 'ประธานรัฐสภา', 'ต้อง', 'ให้ท่าน', 'นายกรัฐมนตรี', 'ได้', 'แถลง', 'นโยบาย', 'จน', 'จบสิ้น', 'ก่อนครับ', '\r\n', 'ถึง', 'ปล่อย', 'ให้', 'มี', 'การ', 'ประท้วง', 'ตาม', 'ข้อบังคับ', 'แล้ว', 'ว่า', 'ผิด', 'ข้อบังคับ', 'ไหน', 'นโยบาย', 'ไหน', 'รัฐมนตรี', 'ไหน', '\r\n', 'ฉะนั้น', 'ขอให้ท่าน', 'ประธานรัฐสภา', 'ได้', 'พิจารณา', 'วินิจฉัย', 'ตาม', 'ข้อบังคับ', 'ข้อ', '๕', 'มิฉะนั้น', 'การแถลง', '\r\n', 'นโยบาย', 'จะ', 'ไม่', 'ได้', 'จบสิ้น', 'นะ', 'ครับ']"
"
นายจิรายุ ห่วงทรัพย์ สมาชิกสภาผู้แทนราษฎร (กรุงเทพมหานคร) :","
ท่านประธานครับ สักครู่เดียวครับท่านประธาน ขออนุญาตใช้สิทธิพาดพิง","['\r\n', 'ท่าน', 'ประธาน', 'ครับ', 'สักครู่เดียว', 'ครับ', 'ท่าน', 'ประธาน', 'ขออนุญาต', 'ใช้', 'สิทธิ', 'พาดพิง']"
"
นายจิรายุ ห่วงทรัพย์ สมาชิกสภาผู้แทนราษฎร (กรุงเทพมหานคร) :","
ท่านประธานที่เคารพครับ ขออนุญาตฝากเรียนไปยังฝ่ายค้าน","['\r\n', 'ท่าน', 'ประธาน', 'ที่', 'เคารพ', 'ครับ', 'ขออนุญาต', 'ฝาก', 'เรียน', 'ไปยัง', 'ฝ่ายค้าน']"
"
นายจิรายุ ห่วงทรัพย์ สมาชิกสภาผู้แทนราษฎร (กรุงเทพมหานคร) :","
ท่านประธานครับ ผมจะบอกว่ากราบเรียนไปยังฝ่ายรัฐบาลว่านั่งนิ่ง ๆ กันบ้าง","['\r\n', 'ท่าน', 'ประธาน', 'ครับ', 'ผม', 'จะ', 'บอกว่า', 'กราบเรียน', 'ไปยัง', 'ฝ่ายรัฐบาล', 'ว่านั่ง', 'นิ่ง ๆ', 'กัน', 'บ้าง']"
"
นายพิเชษฐ์ เชื้อเมืองพาน สมาชิกสภาผู้แทนราษฎร (เชียงราย) :","
ท่านประธานครับ หันหน้าทางนี้ครับท่านประธาน ประท้วงครับ","['\r\n', 'ท่าน', 'ประธาน', 'ครับ', 'หันหน้า', 'ทาง', 'นี้', 'ครับ', 'ท่าน', 'ประธาน', 'ประท้วง', 'ครับ']"
"
นายพิเชษฐ์ เชื้อเมืองพาน สมาชิกสภาผู้แทนราษฎร (เชียงราย) :"," ประท้วง
ท่านประธานครับ","['ประท้วง', '\r\n', 'ท่าน', 'ประธาน', 'ครับ']"
"
นายพิเชษฐ์ เชื้อเมืองพาน สมาชิกสภาผู้แทนราษฎร (เชียงราย) :","
กราบเรียนท่านประธานที่เคารพ กระผม นายพิเชษฐ์ เชื้อเมืองพาน สมาชิกสภาผู้แทนราษฎร
จังหวัดเชียงราย พรรคเพื่อไทย ท่านประธานครับ ท่านนายกรัฐมนตรีได้อ่านข้าม
หน้า ๑๔ หน้า ๑๕ ชาวบ้านเขาโทรมาบอกนะครับ เพราะฉะนั้นเพื่อบันทึกในสภานะครับ
จะผิดรัฐธรรมนูญนะครับ ท่านนายกรัฐมนตรีครับ ท่านต้องกลับไปอ่านใหม่นะครับ","['\r\n', 'กราบเรียน', 'ท่าน', 'ประธาน', 'ที่', 'เคารพ', 'กระผม', 'นาย', 'พิเชษฐ์', 'เชื้อเมืองพาน', 'สมาชิกสภาผู้แทนราษฎร', '\r\n', 'จังหวัด', 'เชียงราย', 'พรรคเพื่อไทย', 'ท่าน', 'ประธาน', 'ครับ', 'ท่าน', 'นายกรัฐมนตรี', 'ได้', 'อ่านข้าม', '\r\n', 'หน้า', '๑๔', 'หน้า', '๑๕', 'ชาวบ้าน', 'เขา', 'โทรมาบอกนะ', 'ครับ', 'เพราะฉะนั้น', 'เพื่อ', 'บันทึก', 'ใน', 'สภา', 'นะ', 'ครับ', '\r\n', 'จะ', 'ผิดรัฐธรรมนูญ', 'นะ', 'ครับ', 'ท่าน', 'นายกรัฐมนตรี', 'ครับ', 'ท่าน', 'ต้องกลับ', 'ไป', 'อ่าน', 'ใหม่', 'นะ', 'ครับ']"
"
นายสายัณห์ ยุติธรรม สมาชิกสภาผู้แทนราษฎร (นครศรีธรรมราช) :","
กราบเรียนท่านประธานครับ ผมประท้วงผู้ประท้วงครับ นายกรัฐมนตรีกาลังแถลงนโยบาย
รัฐสภานะครับ ผม สายัณห์ ยุติธรรม ส.ส. จังหวัดนครศรีธรรมราชครับ ให้นายกรัฐมนตรี
แถลงก่อนค่อยพูดนะครับ ขอบคุณครับ","['\r\n', 'กราบเรียน', 'ท่าน', 'ประธาน', 'ครับ', 'ผม', 'ประท้วง', 'ผู้ประท้วง', 'ครับ', 'นายกรัฐมนตรีกาลัง', 'แถลง', 'นโยบาย', '\r\n', 'รัฐสภา', 'นะ', 'ครับ', 'ผม', 'สายัณห์', 'ยุติธรรม', 'ส.ส.', 'จังหวัด', 'นครศรีธรรมราชครับ', 'ให้', 'นายกรัฐมนตรี', '\r\n', 'แถลง', 'ก่อนค่อย', 'พูด', 'นะ', 'ครับ', 'ขอบคุณ', 'ครับ']"
"
นายพิเชษฐ์ เชื้อเมืองพาน สมาชิกสภาผู้แทนราษฎร (เชียงราย) :","
ท่านประธานกรุณาวินิจฉัยด้วยครับ เพราะว่ามันจะผิดรัฐธรรมนูญนะครับ","['\r\n', 'ท่าน', 'ประธาน', 'กรุณา', 'วินิจฉัย', 'ด้วย', 'ครับ', 'เพราะว่า', 'มัน', 'จะ', 'ผิดรัฐธรรมนูญ', 'นะ', 'ครับ']"
"
นายสายัณห์ ยุติธรรม สมาชิกสภาผู้แทนราษฎร (นครศรีธรรมราช) :","
ขอบคุณครับ
(นายนิโรธ สุนทรเลขา สมาชิกสภาผู้แทนราษฎรจังหวัดนครสวรรค์
ได้ยืนและยกมือขึ้น)","['\r\n', 'ขอบคุณ', 'ครับ', '\r\n', '(', 'นาย', 'นิโรธ', 'สุนทรเลขา', 'สมาชิกสภาผู้แทนราษฎร', 'จังหวัด', 'นครสวรรค์', '\r\n', 'ได้', 'ยืน', 'และ', 'ยกมือขึ้น', ')']"
